id,ecode,slug,name,category,halal_status_name,halal_status_title,halal_status_slug,status_id,description,status_description,created_at,updated_at
6,Е120,e120,"Кошениль, карминовая кислота",Краситель,Харам,Запрещенные,tyjym-salyngandar,3,Харам (по ханафитскому мазхабу),,[],[]
7,Е150(a-d),e150a-d,Қантты колер,Бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
8,Е160b,e160b,Экстракт аннато (биксин),Каротинді бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
9,Е171,e171,Диоксид титана,Органикалық емес бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
10,Е172,e172,Темір оксиді мен  гидроксиді,Органикалық емес бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
11,Е173,e173,Алюминий,Органикалық емес бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
12,Е174,e174,Күміс,Органикалық емес бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
13,Е175,e175,Алтын,Органикалық емес бояғыш,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
14,Е200,e200,Сорбин қышқылы,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
15,Е201,e201,Натри сорбаты,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
16,Е202,e202,Калий сорбаты,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
17,Е203,e203,Сорбат кальциі,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
18,Е210,e210,Бензойлы қышқыл,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
19,Е211,e211,Бензоат натрийі,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
20,Е212,e212,Бензоат калийі,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
21,Е220,e220,Сер диоксиді ,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
22,Е221,e221,Натрий сульфиті,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
23,Е222,e222,Натрий гидросульфит ,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
24,Е223,e223,"Натрий пиросульфит
(метабисульфит)",Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
25,Е224,e224,Калий пиросульфит ,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
26,Е226,e226,Сульфит кальция,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
27,Е239,e239,Гексамин,Консервант – басқалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
28,Е249,e249,Калий нитриті,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
29,Е250,e250,Натрий нитриті,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
30,Е251,e251,Натрий нитраты,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
31,Е252,e252,Калий нитраты,Консервант,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
32,Е260,e260,Уксус қышқылы,Басқа қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
33,Е261,e261,Калий ацетаты,Басқа қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
35,Е263,e263,Кальций ацетаты,Басқа қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
36,Е280,e280,Пропинді қышқыл,Консерванттар-қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
37,Е281,e281,Натрий пропинаты,Консерванттар-қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
38,Е283,e283,Калий пропинаты,Консерванттар-қышқылдар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
39,Е290,e290,Көмір диоксиді,басқалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
40,Е300,e300,Аскорбин қышқылы (Витамин C),Антиоксиданттар – витамин C,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
41,Е301,e301,Натрий аскорбаты,Антиоксиданттар – витамин C және оның өнімдері,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
42,Е310,e310,Пропилгаллат,Антиоксиданттар – басқалары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
43,Е330,e330,Лимон қышқылы,Лимон қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
44,Е331,e331,Натрий цитраты,Лимон қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
45,Е332,e332,Калий цитраты,Лимон қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
46,Е338,e338,Ортофосфор қышқылы,Ортофосфор қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
47,Е339,e339,Натрий ортофосфаты ,Ортофосфор қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
48,Е340,e340,Калий ортофосфаты ,Ортофосфор қышқылы және оның тұздары,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
49,Е400,e400,Альгин қышқылы,"Эмульгаторлар мен стабилизаторлар –
альгинаттар",Халяль,Разрешено,ruqsat-etilgender,1,,,[],
50,Е401,e401,Альгинат натрийі,"Эмульгаторлар мен стабилизаторлар –
альгинаттар",Халяль,Разрешено,ruqsat-etilgender,1,,,[],
51,Е402,e402,Альгинат калийі,"Эмульгаторлар мен стабилизаторлар –
альгинаттар",Халяль,Разрешено,ruqsat-etilgender,1,,,[],
52,Е403,e403,Альгинат аммонийі,"Эмульгаторлар мен стабилизаторлар –
альгинаттар",Халяль,Разрешено,ruqsat-etilgender,1,,,[],
53,Е405,e405,Альгинат пропиленгликольі,"Эмульгаторлар мен стабилизаторлар –
альгинаттар",Халяль,Разрешено,ruqsat-etilgender,1,,,[],
54,Е406,e406,Агар,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
55,Е407,e407,Каррагинан,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
56,Е410,e410,Шегіртке бұршақ камедьі,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
57,Е412,e412,Гуар камедьі,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
58,Е413,e413,Трагакант камедьі,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
59,Е414,e414,Гуммиарабик,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
60,Е415,e415,Ксантан камедьі,Эмульгаторлар мен стабилизаторлар – өсімдік текті смолалар,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
61,Е420,e420,Сорбит,Қант спирттері,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
62,Е421,e421,Маннит,Қант спирттері,Халяль,Разрешено,ruqsat-etilgender,1,,,[],
