id,name,slug,status,status_slug,category,category_slug,city,city_slug,address,map_link,phone,phone2,email,website,certificate_start,certificate_end,certificate_link,supervisor_name,supervisor_phone,supervisor_email,logo_url,keywords,created_at,updated_at
1943,,riha-zhshsmfdwd,Сертифицированные,sertifikattalgan,Колбасное производство,shuzhyq-ondirisi,Кыргызстан,qyrgyzstan,,,996999669919,,office@riha.kg,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/e8b/e37/68be8be378622664962110.jpg'},,[],[]
1942,,abu-lais-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Чимкент,shymkent-qalasy,"Шымкент қаласы, Әл-Фараби алаңы, 4",https://2gis.kz/shymkent/branches/70000001095165122/firm/70000001099693002/69.588502%2C42.316537?m=69.588502%2C42.316537%2F14.85,87001006568,,infosusyn@gmail.com,,,,,Сарыбаев Қазбек,8 701 351 09 38,kazybek-kaz@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1940,,anka-yapi-zhshshjf,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Караганда,qaragandy-qalasy,"Карағанды қаласы, Н.Абдиров көшесі, 19/1",https://2gis.kz/karaganda/branches/70000001036345977/firm/70000001101477385/73.101635%2C49.805043?m=73.083283%2C49.816051%2F10.79,87077705588,,ashirbaeva.merei@yandex.kz,,,,,Амангелді Асқаров,8 777 517 04 49,,https://halaldamu.kz{'path': None},,[],[]
1938,,nurseitov-z-zhk,Сертифицированные,sertifikattalgan,Профилактика,profilaktika,г. Чимкент,shymkent-qalasy,,,87475358755,,ZEYRAT@LIST.RU,,,,,Сарыбаев Қазбек,8 701 351 09 38,kazybek-kaz@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1937,,sary-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Астана,nur-sultan-qalasy,"Астана қаласы, Тұран даңғылы, 55/4",https://2gis.kz/astana/branches/70000001089806930/firm/70000001083040835/71.398155%2C51.111898?m=71.398155%2C51.111898%2F15.79,87073030202,,ipsary1995@mail.ru,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6bb/c15/68b6bbc15a85d538228027.jpg'},,[],[]
1936,,alua-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Астана,nur-sultan-qalasy,"Астана қаласы, Ж.Ташенов көшесі, 21",https://2gis.kz/astana/branches/70000001089806930/firm/70000001094081036/71.449006%2C51.153532?m=71.449006%2C51.153532%2F15.79,87477958339,,inara_janim@mail.ru,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6bb/cd8/68b6bbcd8913c170167269.jpg'},,[],[]
1935,,firstova-lv-zhk,Сертифицированные,sertifikattalgan,Полуфабрикаты,muzdatylgan-zhartylaj-dajyn-onimderi,г. Астана,nur-sultan-qalasy,"город Астана, улица Асфендиярова 8, НП 4",https://2gis.kz/astana/firm/70000001100172856?m=71.380834%2C51.134793%2F16,87789175909,,nazmusakhan@gmail.com,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6b5/cda/68b6b5cdad4d5442489028.jpg'},,[],[]
1934,,rasul-zhk,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,Атырауская обл.,atyrau-oblysy,"Атырау қаласы, Ш.Уалиханов көшесі, 2",https://2gis.kz/atyrau/search/%D0%A3%D0%B0%D0%BB%D0%B8%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%20%D0%BA%D3%A9%D1%88%D0%B5%D1%81%D1%96%2C%202/geo/70030076164499802/51.905289%2C47.172956?m=51.970562%2C47.119003%2F10.79,87023633663,,jakon1988@mail.ru,,,,,Амангелдиев Ақылбек,+7 702 202 2329,i.e.bekjan@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1933,,torta-bella-zhshs,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,Костанайская обл.,qostanaj-oblysy,"Қостанай қаласы, Фабричная көшесі, 7б",https://2gis.kz/kostanaj/search/%D0%A4%D0%B0%D0%B1%D1%80%D0%B8%D1%87%D0%BD%D0%B0%D1%8F%20%D0%BA%D3%A9%D1%88%D0%B5%D1%81%D1%96%2C%207%D0%B1/geo/70030076164761624/63.635602%2C53.237345?m=63.635559%2C53.237321%2F17.77,87770644664,,tortybella@mail.ru,,,,,Балахмет Алишер,8 775 108 38 18,alisherbt_94@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1932,,zha-tan-zhshsvdkl,Сертифицированные,sertifikattalgan,Ет өнімдері,et-nimderi,Атырауская обл.,atyrau-oblysy,,,87123727107 / 87781716170,,tlegenova70@mail.ru,,,,,Амангелдиев Ақылбек,+7 702 202 2329,i.e.bekjan@mail.ru,https://halaldamu.kz{'path': None},,[],[]
